Year,Award,Player/Coach,Team
2046,All-League First Team Defensive End,22922,31
2046,All-League First Team Defensive Tackle,23839,4
2046,All-League First Team Defensive Tackle,22975,2
2046,All-League First Team Inside Linebacker,23873,5
2046,All-League First Team Outside Linebacker,23928,20
2046,All-League First Team Outside Linebacker,23110,9
2046,All-League First Team Cornerback,21439,3
2046,All-League First Team Cornerback,20615,22
2046,All-League First Team Safety,22381,16
2046,All-League First Team Safety,21498,27
2046,All-League Second Team Quarterback,18207,3
2046,All-League Second Team Running Back,21663,10
2046,All-League Second Team Fullback,21687,22
2046,All-League Second Team Tight End,22589,19
2046,All-League Second Team Wide Receiver,22615,11
2046,All-League Second Team Wide Receiver,17624,3
2046,All-League Second Team Center,21005,1
2046,All-League Second Team Offensive Guard,18501,1
2046,All-League Second Team Offensive Guard,21907,6
2046,All-League Second Team Offensive Tackle,20274,7
2046,All-League Second Team Offensive Tackle,21115,12
2046,All-League Second Team Punter,20316,5
2046,All-League Second Team Kicker,16995,17
2046,All-League Second Team Defensive End,21235,23
2046,All-League Second Team Defensive End,20394,7
2046,All-League Second Team Defensive Tackle,22159,7
2046,All-League Second Team Defensive Tackle,22977,25
2046,All-League Second Team Inside Linebacker,18798,17
2046,All-League Second Team Outside Linebacker,23094,22
2046,All-League Second Team Outside Linebacker,23865,12
2046,All-League Second Team Cornerback,24016,25
2046,All-League Second Team Cornerback,21432,31
2046,All-League Second Team Safety,19798,18
2046,All-League Second Team Safety,23198,12
2046,League's Fastest Man,22690,10
2046,League's Strongest Man,16884,12
2045,Legend of the Game,12353,5
2045,Coach of the Year,460,6
2045,Player of the Year,16509,15
2045,Front Office Bowl MVP,19896,19
2045,Offensive Player of the Year,16509,15
2045,Defensive Player of the Year,21410,1
2045,Offensive Rookie of the Year,23323,29
2045,Defensive Rookie of the Year,23865,12
2045,All-League First Team Quarterback,16509,15
2045,All-League First Team Running Back,21663,10
2045,All-League First Team Fullback,18301,4
2045,All-League First Team Tight End,20891,15
2045,All-League First Team Wide Receiver,20079,13
2045,All-League First Team Wide Receiver,21809,9
2045,All-League First Team Center,19317,6
2045,All-League First Team Offensive Guard,19350,21
2045,All-League First Team Offensive Guard,15982,27
2045,All-League First Team Offensive Tackle,14384,2
2045,All-League First Team Offensive Tackle,21115,12
2045,All-League First Team Punter,16106,17
2045,All-League First Team Kicker,23738,5
2045,All-League First Team Defensive End,21290,30
2045,All-League First Team Defensive End,18678,20
2045,All-League First Team Defensive Tackle,22977,25
2045,All-League First Team Defensive Tackle,20452,2
2045,All-League First Team Inside Linebacker,19633,3
2045,All-League First Team Outside Linebacker,21410,1
2045,All-League First Team Outside Linebacker,21368,21
2045,All-League First Team Cornerback,21447,10
2045,All-League First Team Cornerback,23141,24
2045,All-League First Team Safety,19832,20
2045,All-League First Team Safety,18976,29
2045,All-League Second Team Quarterback,19896,19
2045,All-League Second Team Running Back,21642,20
2045,All-League Second Team Fullback,20842,15
2045,All-League Second Team Tight End,22592,2
2045,All-League Second Team Wide Receiver,22675,31
2045,All-League Second Team Wide Receiver,15935,24
2045,All-League Second Team Center,21006,11
2045,All-League Second Team Offensive Guard,17710,11
2045,All-League Second Team Offensive Guard,18547,2
2045,All-League Second Team Offensive Tackle,16074,13
2045,All-League Second Team Offensive Tackle,16907,17
2045,All-League Second Team Punter,19456,16
2045,All-League Second Team Kicker,22022,25
2045,All-League Second Team Defensive End,18722,16
2045,All-League Second Team Defensive End,21215,9
2045,All-League Second Team Defensive Tackle,22118,3
2045,All-League Second Team Defensive Tackle,21302,16
2045,All-League Second Team Inside Linebacker,17125,30
2045,All-League Second Team Outside Linebacker,18876,14
2045,All-League Second Team Outside Linebacker,17984,7
2045,All-League Second Team Cornerback,21462,23
2045,All-League Second Team Cornerback,21439,3
2045,All-League Second Team Safety,20698,14
2045,All-League Second Team Safety,22354,4
2045,League's Fastest Man,18423,14
2045,League's Strongest Man,16078,16
2044,Legend of the Game,14030,22
2044,Coach of the Year,460,6
2044,Player of the Year,13229,29
2044,Front Office Bowl MVP,17371,2
2044,Offensive Player of the Year,13229,29
2044,Defensive Player of the Year,17191,9
2044,Offensive Rookie of the Year,22675,31
2044,Defensive Rookie of the Year,22922,31
2044,All-League First Team Quarterback,13229,29
2044,All-League First Team Running Back,21663,10
2044,All-League First Team Fullback,16639,11
2044,All-League First Team Tight End,20891,15
2044,All-League First Team Wide Receiver,22675,31
2044,All-League First Team Wide Receiver,18438,25
2044,All-League First Team Center,20140,16
2044,All-League First Team Offensive Guard,18501,1
2044,All-League First Team Offensive Guard,19350,21
2044,All-League First Team Offensive Tackle,20274,7
2044,All-League First Team Offensive Tackle,14384,2
2044,All-League First Team Punter,19456,16
2044,All-League First Team Kicker,17817,19
2044,All-League First Team Defensive End,17847,9
2044,All-League First Team Defensive End,21290,30
2044,All-League First Team Defensive Tackle,21302,16
2044,All-League First Team Defensive Tackle,19608,10
2044,All-League First Team Inside Linebacker,19633,3
2044,All-League First Team Outside Linebacker,17191,9
2044,All-League First Team Outside Linebacker,19673,9
2044,All-League First Team Cornerback,19743,14
2044,All-League First Team Cornerback,18905,28
2044,All-League First Team Safety,22381,16
2044,All-League First Team Safety,20668,23
2044,All-League Second Team Quarterback,19842,6
2044,All-League Second Team Running Back,15726,31
2044,All-League Second Team Fullback,20842,9
2044,All-League Second Team Tight End,17547,17
2044,All-League Second Team Wide Receiver,20919,29
2044,All-League Second Team Wide Receiver,21809,9
2044,All-League Second Team Center,16808,2
2044,All-League Second Team Offensive Guard,19388,11
2044,All-League Second Team Offensive Guard,17714,7
2044,All-League Second Team Offensive Tackle,15235,19
2044,All-League Second Team Offensive Tackle,18581,6
2044,All-League Second Team Punter,16961,25
2044,All-League Second Team Kicker,22022,25
2044,All-League Second Team Defensive End,20348,8
2044,All-League Second Team Defensive End,22922,31
2044,All-League Second Team Defensive Tackle,22127,12
2044,All-League Second Team Defensive Tackle,17941,0
2044,All-League Second Team Inside Linebacker,18814,23
2044,All-League Second Team Outside Linebacker,16321,10
2044,All-League Second Team Outside Linebacker,23094,22
2044,All-League Second Team Cornerback,21462,23
2044,All-League Second Team Cornerback,18944,7
2044,All-League Second Team Safety,15640,3
2044,All-League Second Team Safety,19798,18
2044,League's Fastest Man,21825,8
2044,League's Strongest Man,15994,26
2043,Legend of the Game,12574,29
2043,Coach of the Year,36,4
2043,Player of the Year,17399,25
2043,Front Office Bowl MVP,16552,2
2043,Offensive Player of the Year,17399,25
2043,Defensive Player of the Year,18814,23
2043,Offensive Rookie of the Year,21663,10
2043,Defensive Rookie of the Year,22381,16
2043,All-League First Team Quarterback,17399,25
2043,All-League First Team Running Back,21663,10
2043,All-League First Team Fullback,18329,1
2043,All-League First Team Tight End,20891,15
2043,All-League First Team Wide Receiver,15935,24
2043,All-League First Team Wide Receiver,14205,2
2043,All-League First Team Center,20160,4
2043,All-League First Team Offensive Guard,19350,21
2043,All-League First Team Offensive Guard,20171,19
2043,All-League First Team Offensive Tackle,14384,2
2043,All-League First Team Offensive Tackle,15235,19
2043,All-League First Team Punter,19456,18
2043,All-League First Team Kicker,16983,15
2043,All-League First Team Defensive End,21290,30
2043,All-League First Team Defensive End,17847,9
2043,All-League First Team Defensive Tackle,18743,17
2043,All-League First Team Defensive Tackle,21302,16
2043,All-League First Team Inside Linebacker,18814,23
2043,All-League First Team Outside Linebacker,17984,7
2043,All-League First Team Outside Linebacker,19701,15
2043,All-League First Team Cornerback,18905,28
2043,All-League First Team Cornerback,19743,14
2043,All-League First Team Safety,20641,27
2043,All-League First Team Safety,19832,20
2043,All-League Second Team Quarterback,14026,0
2043,All-League Second Team Running Back,18287,7
2043,All-League Second Team Fullback,19167,18
2043,All-League Second Team Tight End,18362,22
2043,All-League Second Team Wide Receiver,17580,21
2043,All-League Second Team Wide Receiver,17565,23
2043,All-League Second Team Center,17649,25
2043,All-League Second Team Offensive Guard,18537,13
2043,All-League Second Team Offensive Guard,17718,16
2043,All-League Second Team Offensive Tackle,19426,10
2043,All-League Second Team Offensive Tackle,15216,31
2043,All-League Second Team Punter,20309,21
2043,All-League Second Team Kicker,13637,9
2043,All-League Second Team Defensive End,20348,8
2043,All-League Second Team Defensive End,13671,11
2043,All-League Second Team Defensive Tackle,15388,25
2043,All-League Second Team Defensive Tackle,16212,5
2043,All-League Second Team Inside Linebacker,18798,17
2043,All-League Second Team Outside Linebacker,17191,9
2043,All-League Second Team Outside Linebacker,18031,8
2043,All-League Second Team Cornerback,19745,13
2043,All-League Second Team Cornerback,18960,15
2043,All-League Second Team Safety,19798,18
2043,All-League Second Team Safety,16463,8
2043,League's Fastest Man,17566,5
2043,League's Strongest Man,20285,15
2042,Legend of the Game,7380,28
2042,Coach of the Year,21,11
2042,Player of the Year,16552,2
2042,Front Office Bowl MVP,19103,7
2042,Offensive Player of the Year,16552,2
2042,Defensive Player of the Year,18887,6
2042,Offensive Rookie of the Year,20784,27
2042,Defensive Rookie of the Year,21435,9
2042,All-League First Team Quarterback,16552,2
2042,All-League First Team Running Back,15726,31
2042,All-League First Team Fullback,18329,1
2042,All-League First Team Tight End,17547,17
2042,All-League First Team Wide Receiver,13388,31
2042,All-League First Team Wide Receiver,18438,25
2042,All-League First Team Center,12619,26
2042,All-League First Team Offensive Guard,19350,21
2042,All-League First Team Offensive Guard,19349,26
2042,All-League First Team Offensive Tackle,16940,2
2042,All-League First Team Offensive Tackle,11092,26
2042,All-League First Team Punter,10267,19
2042,All-League First Team Kicker,21187,21
2042,All-League First Team Defensive End,18887,6
2042,All-League First Team Defensive End,13671,11
2042,All-League First Team Defensive Tackle,18670,9
2042,All-League First Team Defensive Tackle,17066,4
2042,All-League First Team Inside Linebacker,18814,23
2042,All-League First Team Outside Linebacker,18031,8
2042,All-League First Team Outside Linebacker,18846,12
2042,All-League First Team Cornerback,21435,9
2042,All-League First Team Cornerback,16443,19
2042,All-League First Team Safety,20641,27
2042,All-League First Team Safety,19798,18
2042,All-League Second Team Quarterback,17399,25
2042,All-League Second Team Running Back,19113,3
2042,All-League Second Team Fullback,17485,24
2042,All-League Second Team Tight End,18362,22
2042,All-League Second Team Wide Receiver,20112,28
2042,All-League Second Team Wide Receiver,18450,2
2042,All-League Second Team Center,19309,27
2042,All-League Second Team Offensive Guard,16875,18
2042,All-League Second Team Offensive Guard,16838,20
2042,All-League Second Team Offensive Tackle,16909,5
2042,All-League Second Team Offensive Tackle,16895,21
2042,All-League Second Team Punter,10277,15
2042,All-League Second Team Kicker,21190,31
2042,All-League Second Team Defensive End,17047,5
2042,All-League Second Team Defensive End,17015,18
2042,All-League Second Team Defensive Tackle,18040,1
2042,All-League Second Team Defensive Tackle,21302,16
2042,All-League Second Team Inside Linebacker,19633,3
2042,All-League Second Team Outside Linebacker,18963,26
2042,All-League Second Team Outside Linebacker,19696,7
2042,All-League Second Team Cornerback,18912,11
2042,All-League Second Team Cornerback,16407,26
2042,All-League Second Team Safety,16463,8
2042,All-League Second Team Safety,16472,6
2042,League's Fastest Man,15576,8
2042,League's Strongest Man,13503,12
2041,Legend of the Game,8267,26
2041,Coach of the Year,272,6
2041,Player of the Year,18287,12
2041,Front Office Bowl MVP,15674,19
2041,Offensive Player of the Year,18287,12
2041,Defensive Player of the Year,19745,13
2041,Offensive Rookie of the Year,20112,28
2041,Defensive Rookie of the Year,20607,25
2041,All-League First Team Quarterback,18207,3
2041,All-League First Team Running Back,18287,12
2041,All-League First Team Fullback,16639,11
2041,All-League First Team Tight End,17547,17
2041,All-League First Team Wide Receiver,15922,15
2041,All-League First Team Wide Receiver,13388,31
2041,All-League First Team Center,17649,25
2041,All-League First Team Offensive Guard,15182,12
2041,All-League First Team Offensive Guard,13503,12
2041,All-League First Team Offensive Tackle,15216,31
2041,All-League First Team Offensive Tackle,14374,0
2041,All-League First Team Punter,16969,14
2041,All-League First Team Kicker,11136,2
2041,All-League First Team Defensive End,17015,18
2041,All-League First Team Defensive End,12141,31
2041,All-League First Team Defensive Tackle,18040,1
2041,All-League First Team Defensive Tackle,16212,5
2041,All-League First Team Inside Linebacker,18798,17
2041,All-League First Team Outside Linebacker,16321,10
2041,All-League First Team Outside Linebacker,18887,6
2041,All-League First Team Cornerback,19745,13
2041,All-League First Team Cornerback,20607,25
2041,All-League First Team Safety,13133,27
2041,All-League First Team Safety,17309,9
2041,All-League Second Team Quarterback,17399,25
2041,All-League Second Team Running Back,14082,0
2041,All-League Second Team Fullback,19972,27
2041,All-League Second Team Tight End,18362,22
2041,All-League Second Team Wide Receiver,16749,19
2041,All-League Second Team Wide Receiver,20112,28
2041,All-League Second Team Center,16808,2
2041,All-League Second Team Offensive Guard,17718,16
2041,All-League Second Team Offensive Guard,17702,31
2041,All-League Second Team Offensive Tackle,14384,2
2041,All-League Second Team Offensive Tackle,15244,23
2041,All-League Second Team Punter,10267,19
2041,All-League Second Team Kicker,13637,20
2041,All-League Second Team Defensive End,13658,14
2041,All-League Second Team Defensive End,17847,9
2041,All-League Second Team Defensive Tackle,14477,6
2041,All-League Second Team Defensive Tackle,19581,19
2041,All-League Second Team Inside Linebacker,17984,7
2041,All-League Second Team Outside Linebacker,16318,21
2041,All-League Second Team Outside Linebacker,18030,14
2041,All-League Second Team Cornerback,19717,30
2041,All-League Second Team Cornerback,18939,21
2041,All-League Second Team Safety,15640,3
2041,All-League Second Team Safety,15604,31
2041,League's Fastest Man,13395,20
2041,League's Strongest Man,20402,11
2040,Legend of the Game,6544,1
2040,Coach of the Year,141,29
2040,Player of the Year,14026,0
2040,Front Office Bowl MVP,14026,0
2040,Offensive Player of the Year,14026,0
2040,Defensive Player of the Year,18814,23
2040,Offensive Rookie of the Year,19113,3
2040,Defensive Rookie of the Year,19812,21
2040,All-League First Team Quarterback,14026,0
2040,All-League First Team Running Back,15726,31
2040,All-League First Team Fullback,16639,11
2040,All-League First Team Tight End,14158,9
2040,All-League First Team Wide Receiver,13388,31
2040,All-League First Team Wide Receiver,15069,30
2040,All-League First Team Center,17649,25
2040,All-League First Team Offensive Guard,15982,27
2040,All-League First Team Offensive Guard,17697,20
2040,All-League First Team Offensive Tackle,9410,18
2040,All-League First Team Offensive Tackle,14384,2
2040,All-League First Team Punter,16117,6
2040,All-League First Team Kicker,13637,20
2040,All-League First Team Defensive End,18678,20
2040,All-League First Team Defensive End,16168,1
2040,All-League First Team Defensive Tackle,14520,11
2040,All-League First Team Defensive Tackle,13734,18
2040,All-League First Team Inside Linebacker,18814,23
2040,All-League First Team Outside Linebacker,14637,17
2040,All-League First Team Outside Linebacker,16321,10
2040,All-League First Team Cornerback,15576,8
2040,All-League First Team Cornerback,15526,20
2040,All-League First Team Safety,15640,3
2040,All-League First Team Safety,15604,31
2040,All-League Second Team Quarterback,14826,30
2040,All-League Second Team Running Back,14044,30
2040,All-League Second Team Fullback,10806,15
2040,All-League Second Team Tight End,17547,17
2040,All-League Second Team Wide Receiver,12571,3
2040,All-League Second Team Wide Receiver,17624,23
2040,All-League Second Team Center,12619,26
2040,All-League Second Team Offensive Guard,16875,3
2040,All-League Second Team Offensive Guard,16018,29
2040,All-League Second Team Offensive Tackle,16911,29
2040,All-League Second Team Offensive Tackle,11081,16
2040,All-League Second Team Punter,16954,23
2040,All-League Second Team Kicker,10284,0
2040,All-League Second Team Defensive End,11146,4
2040,All-League Second Team Defensive End,12058,8
2040,All-League Second Team Defensive Tackle,11225,0
2040,All-League Second Team Defensive Tackle,17085,31
2040,All-League Second Team Inside Linebacker,17957,15
2040,All-League Second Team Outside Linebacker,16372,11
2040,All-League Second Team Outside Linebacker,12143,7
2040,All-League Second Team Cornerback,18960,15
2040,All-League Second Team Cornerback,16442,16
2040,All-League Second Team Safety,17309,9
2040,All-League Second Team Safety,16463,8
2040,League's Fastest Man,15078,13
2040,League's Strongest Man,15243,8
2039,Legend of the Game,5702,24
2039,Coach of the Year,320,13
2039,Player of the Year,14001,31
2039,Front Office Bowl MVP,14031,13
2039,Offensive Player of the Year,14001,31
2039,Defensive Player of the Year,16351,22
2039,Offensive Rookie of the Year,18287,12
2039,Defensive Rookie of the Year,18798,17
2039,All-League First Team Quarterback,14001,31
2039,All-League First Team Running Back,14044,30
2039,All-League First Team Fullback,9149,13
2039,All-League First Team Tight End,16670,18
2039,All-League First Team Wide Receiver,11753,19
2039,All-League First Team Wide Receiver,13388,31
2039,All-League First Team Center,16808,2
2039,All-League First Team Offensive Guard,13486,30
2039,All-League First Team Offensive Guard,16838,20
2039,All-League First Team Offensive Tackle,14384,2
2039,All-League First Team Offensive Tackle,12747,11
2039,All-League First Team Punter,16117,6
2039,All-League First Team Kicker,14448,4
2039,All-League First Team Defensive End,13682,22
2039,All-League First Team Defensive End,13667,10
2039,All-League First Team Defensive Tackle,10417,7
2039,All-League First Team Defensive Tackle,16212,5
2039,All-League First Team Inside Linebacker,15428,0
2039,All-League First Team Outside Linebacker,16351,22
2039,All-League First Team Outside Linebacker,13821,25
2039,All-League First Team Cornerback,14729,30
2039,All-League First Team Cornerback,16442,16
2039,All-League First Team Safety,13133,27
2039,All-League First Team Safety,16463,8
2039,All-League Second Team Quarterback,14826,30
2039,All-League Second Team Running Back,11575,26
2039,All-League Second Team Fullback,17473,28
2039,All-League Second Team Tight End,15837,31
2039,All-League Second Team Wide Receiver,14194,0
2039,All-League Second Team Wide Receiver,10059,28
2039,All-League Second Team Center,10949,17
2039,All-League Second Team Offensive Guard,16018,29
2039,All-League Second Team Offensive Guard,13503,12
2039,All-League Second Team Offensive Tackle,11092,26
2039,All-League Second Team Offensive Tackle,18583,30
2039,All-League Second Team Punter,12774,16
2039,All-League Second Team Kicker,7022,10
2039,All-League Second Team Defensive End,14472,15
2039,All-League Second Team Defensive End,14483,20
2039,All-League Second Team Defensive Tackle,14477,6
2039,All-League Second Team Defensive Tackle,15411,28
2039,All-League Second Team Inside Linebacker,14602,10
2039,All-League Second Team Outside Linebacker,11296,16
2039,All-League Second Team Outside Linebacker,17191,9
2039,All-League Second Team Cornerback,17232,26
2039,All-League Second Team Cornerback,15526,20
2039,All-League Second Team Safety,16462,30
2039,All-League Second Team Safety,17309,9
2039,League's Fastest Man,10023,8
2039,League's Strongest Man,14384,2
2038,Legend of the Game,4883,17
2038,Coach of the Year,365,15
2038,Player of the Year,14026,0
2038,Front Office Bowl MVP,15733,15
2038,Offensive Player of the Year,14026,0
2038,Defensive Player of the Year,13667,10
2038,Offensive Rookie of the Year,17455,11
2038,Defensive Rookie of the Year,18016,0
2038,All-League First Team Quarterback,14026,0
2038,All-League First Team Running Back,15726,31
2038,All-League First Team Fullback,16635,26
2038,All-League First Team Tight End,16701,12
2038,All-League First Team Wide Receiver,13388,31
2038,All-League First Team Wide Receiver,15872,27
2038,All-League First Team Center,12619,26
2038,All-League First Team Offensive Guard,15182,10
2038,All-League First Team Offensive Guard,15146,16
2038,All-League First Team Offensive Tackle,11882,7
2038,All-League First Team Offensive Tackle,10210,24
2038,All-League First Team Punter,9440,5
2038,All-League First Team Kicker,9475,18
2038,All-League First Team Defensive End,13667,10
2038,All-League First Team Defensive End,13671,11
2038,All-League First Team Defensive Tackle,13743,29
2038,All-League First Team Defensive Tackle,15411,28
2038,All-League First Team Inside Linebacker,12935,14
2038,All-League First Team Outside Linebacker,17191,9
2038,All-League First Team Outside Linebacker,18016,0
2038,All-League First Team Cornerback,12230,3
2038,All-League First Team Cornerback,14680,25
2038,All-League First Team Safety,13972,28
2038,All-League First Team Safety,15604,31
2038,All-League Second Team Quarterback,13229,29
2038,All-League Second Team Running Back,14045,12
2038,All-League Second Team Fullback,12451,2
2038,All-League Second Team Tight End,12488,0
2038,All-League Second Team Wide Receiver,10059,28
2038,All-League Second Team Wide Receiver,14194,0
2038,All-League Second Team Center,9302,16
2038,All-League Second Team Offensive Guard,13486,30
2038,All-League Second Team Offensive Guard,14339,9
2038,All-League Second Team Offensive Tackle,15216,31
2038,All-League Second Team Offensive Tackle,11081,16
2038,All-League Second Team Punter,16969,14
2038,All-League Second Team Kicker,11949,22
2038,All-League Second Team Defensive End,17847,9
2038,All-League Second Team Defensive End,17006,7
2038,All-League Second Team Defensive Tackle,16227,23
2038,All-League Second Team Defensive Tackle,15374,6
2038,All-League Second Team Inside Linebacker,16277,31
2038,All-League Second Team Outside Linebacker,16321,10
2038,All-League Second Team Outside Linebacker,13852,27
2038,All-League Second Team Cornerback,11403,22
2038,All-League Second Team Cornerback,16407,4
2038,All-League Second Team Safety,15640,3
2038,All-League Second Team Safety,15625,26
2038,League's Fastest Man,17580,21
2038,League's Strongest Man,13503,12
2037,Legend of the Game,4923,29
2037,Coach of the Year,156,9
2037,Player of the Year,13229,29
2037,Front Office Bowl MVP,12353,16
2037,Offensive Player of the Year,13229,29
2037,Defensive Player of the Year,13694,5
2037,Offensive Rookie of the Year,16592,18
2037,Defensive Rookie of the Year,17191,9
2037,All-League First Team Quarterback,13229,29
2037,All-League First Team Running Back,11575,26
2037,All-League First Team Fullback,11628,7
2037,All-League First Team Tight End,10007,2
2037,All-League First Team Wide Receiver,14194,0
2037,All-League First Team Wide Receiver,13388,31
2037,All-League First Team Center,12619,26
2037,All-League First Team Offensive Guard,10183,20
2037,All-League First Team Offensive Guard,13503,12
2037,All-League First Team Offensive Tackle,14384,2
2037,All-League First Team Offensive Tackle,13589,26
2037,All-League First Team Punter,16117,6
2037,All-League First Team Kicker,16130,23
2037,All-League First Team Defensive End,13694,5
2037,All-League First Team Defensive End,13667,10
2037,All-League First Team Defensive Tackle,15411,28
2037,All-League First Team Defensive Tackle,7954,22
2037,All-League First Team Inside Linebacker,14602,10
2037,All-League First Team Outside Linebacker,13852,27
2037,All-League First Team Outside Linebacker,14637,30
2037,All-League First Team Cornerback,14729,30
2037,All-League First Team Cornerback,16407,4
2037,All-League First Team Safety,13122,16
2037,All-League First Team Safety,13972,28
2037,All-League Second Team Quarterback,14001,31
2037,All-League Second Team Running Back,14045,12
2037,All-League Second Team Fullback,13307,14
2037,All-League Second Team Tight End,14994,22
2037,All-League Second Team Wide Receiver,11761,15
2037,All-League Second Team Wide Receiver,10921,10
2037,All-League Second Team Center,7678,31
2037,All-League Second Team Offensive Guard,13486,30
2037,All-League Second Team Offensive Guard,15182,10
2037,All-League Second Team Offensive Tackle,15214,21
2037,All-League Second Team Offensive Tackle,16079,20
2037,All-League Second Team Punter,11104,3
2037,All-League Second Team Kicker,14448,4
2037,All-League Second Team Defensive End,13671,11
2037,All-League Second Team Defensive End,13658,14
2037,All-League Second Team Defensive Tackle,10392,14
2037,All-League Second Team Defensive Tackle,14520,11
2037,All-League Second Team Inside Linebacker,15438,30
2037,All-League Second Team Outside Linebacker,15488,17
2037,All-League Second Team Outside Linebacker,13823,6
2037,All-League Second Team Cornerback,16400,11
2037,All-League Second Team Cornerback,15526,20
2037,All-League Second Team Safety,15640,3
2037,All-League Second Team Safety,13133,27
2037,League's Fastest Man,10053,20
2037,League's Strongest Man,11092,26
2036,Legend of the Game,3269,25
2036,Coach of the Year,36,4
2036,Player of the Year,5702,24
2036,Front Office Bowl MVP,4103,4
2036,Offensive Player of the Year,5702,24
2036,Defensive Player of the Year,10492,30
2036,Offensive Rookie of the Year,15733,15
2036,Defensive Rookie of the Year,16407,4
2036,All-League First Team Quarterback,5702,24
2036,All-League First Team Running Back,14045,12
2036,All-League First Team Fullback,13289,31
2036,All-League First Team Tight End,10007,10
2036,All-League First Team Wide Receiver,12523,1
2036,All-League First Team Wide Receiver,11753,19
2036,All-League First Team Center,10949,15
2036,All-League First Team Offensive Guard,8575,13
2036,All-League First Team Offensive Guard,11848,8
2036,All-League First Team Offensive Tackle,12747,11
2036,All-League First Team Offensive Tackle,11081,16
2036,All-League First Team Punter,9440,5
2036,All-League First Team Kicker,5349,26
2036,All-League First Team Defensive End,10492,30
2036,All-League First Team Defensive End,13671,11
2036,All-League First Team Defensive Tackle,7136,17
2036,All-League First Team Defensive Tackle,10417,7
2036,All-League First Team Inside Linebacker,10433,15
2036,All-League First Team Outside Linebacker,9635,29
2036,All-League First Team Outside Linebacker,12141,31
2036,All-League First Team Cornerback,11416,1
2036,All-League First Team Cornerback,14681,13
2036,All-League First Team Safety,13144,2
2036,All-League First Team Safety,10645,0
2036,All-League Second Team Quarterback,7380,28
2036,All-League Second Team Running Back,14055,16
2036,All-League Second Team Fullback,8362,11
2036,All-League Second Team Tight End,10852,18
2036,All-League Second Team Wide Receiver,12571,3
2036,All-League Second Team Wide Receiver,10077,24
2036,All-League Second Team Center,12619,26
2036,All-League Second Team Offensive Guard,14298,27
2036,All-League Second Team Offensive Guard,12680,15
2036,All-League Second Team Offensive Tackle,9423,29
2036,All-League Second Team Offensive Tackle,6969,12
2036,All-League Second Team Punter,10267,19
2036,All-League Second Team Kicker,14448,4
2036,All-League Second Team Defensive End,15338,7
2036,All-League Second Team Defensive End,13704,25
2036,All-League Second Team Defensive Tackle,15411,28
2036,All-League Second Team Defensive Tackle,10353,21
2036,All-League Second Team Inside Linebacker,12935,14
2036,All-League Second Team Outside Linebacker,14596,19
2036,All-League Second Team Outside Linebacker,8890,9
2036,All-League Second Team Cornerback,13106,21
2036,All-League Second Team Cornerback,14729,30
2036,All-League Second Team Safety,8171,15
2036,All-League Second Team Safety,13972,28
2036,League's Fastest Man,7297,27
2036,League's Strongest Man,9423,29
2035,Legend of the Game,3268,31
2035,Coach of the Year,136,22
2035,Player of the Year,14045,12
2035,Front Office Bowl MVP,10351,20
2035,Offensive Player of the Year,14045,12
2035,Defensive Player of the Year,10492,30
2035,Offensive Rookie of the Year,14910,0
2035,Defensive Rookie of the Year,15519,16
2035,All-League First Team Quarterback,4883,17
2035,All-League First Team Running Back,14045,12
2035,All-League First Team Fullback,13292,9
2035,All-League First Team Tight End,10834,11
2035,All-League First Team Wide Receiver,11753,19
2035,All-League First Team Wide Receiver,14194,0
2035,All-League First Team Center,8500,30
2035,All-League First Team Offensive Guard,13503,12
2035,All-League First Team Offensive Guard,13486,30
2035,All-League First Team Offensive Tackle,6946,28
2035,All-League First Team Offensive Tackle,14367,19
2035,All-League First Team Punter,14433,30
2035,All-League First Team Kicker,5349,26
2035,All-League First Team Defensive End,10492,30
2035,All-League First Team Defensive End,10410,18
2035,All-League First Team Defensive Tackle,7136,17
2035,All-League First Team Defensive Tackle,10417,7
2035,All-League First Team Inside Linebacker,14602,10
2035,All-League First Team Outside Linebacker,10499,7
2035,All-League First Team Outside Linebacker,8890,9
2035,All-League First Team Cornerback,13856,29
2035,All-League First Team Cornerback,12223,26
2035,All-League First Team Safety,8171,15
2035,All-League First Team Safety,11444,21
2035,All-League Second Team Quarterback,6544,1
2035,All-League Second Team Running Back,11575,26
2035,All-League Second Team Fullback,13291,28
2035,All-League Second Team Tight End,10852,18
2035,All-League Second Team Wide Receiver,10059,28
2035,All-League Second Team Wide Receiver,10893,11
2035,All-League Second Team Center,12619,26
2035,All-League Second Team Offensive Guard,8575,13
2035,All-League Second Team Offensive Guard,14339,28
2035,All-League Second Team Offensive Tackle,10218,19
2035,All-League Second Team Offensive Tackle,9412,28
2035,All-League Second Team Punter,12772,20
2035,All-League Second Team Kicker,9475,7
2035,All-League Second Team Defensive End,13667,10
2035,All-League Second Team Defensive End,13682,22
2035,All-League Second Team Defensive Tackle,12051,16
2035,All-League Second Team Defensive Tackle,7140,26
2035,All-League Second Team Inside Linebacker,12968,19
2035,All-League Second Team Outside Linebacker,9635,29
2035,All-League Second Team Outside Linebacker,13823,6
2035,All-League Second Team Cornerback,9759,21
2035,All-League Second Team Cornerback,14742,14
2035,All-League Second Team Safety,13133,27
2035,All-League Second Team Safety,13122,10
2035,League's Fastest Man,5111,18
2035,League's Strongest Man,13587,18
2034,Legend of the Game,1529,0
2034,Coach of the Year,241,10
2034,Player of the Year,14045,12
